questions,keys,datadic,col_name,assessment,domains,measures
"More than once, your child went without food, clothing, a place to live, or had no one to protect her/him",ACE_07,ACE_P,,,,
"Someone pushed, grabbed, slapped or threw something at your child OR your child was hit so hard that your child was injured or had marks",ACE_08,ACE_P,,,,
Your child lived with someone who had a problem with drinking or using drugs,ACE_09,ACE_P,,,,
"Your child often felt unsupported, unloved and/or unprotected",ACE_10,ACE_P,,,,
Your child was in foster care,ACE_11,ACE_P,,,,
Your child experienced harassment or bullying at school,ACE_12,ACE_P,,,,
Your child lived with a parent or guardian who died,ACE_13,ACE_P,,,,
Your child was separated from her/his primary caregiver through deportation or immigration,ACE_14,ACE_P,,,,
Your child had a serious medical procedure or life threatening illness,ACE_15,ACE_P,,,,
Your child often saw or heard violence in the neighborhood or in her/his school neighborhood,ACE_16,ACE_P,,,,
"Your child was often treated badly because of race, sexual orientation, place of birth, disability or religion",ACE_17,ACE_P,,,,
Total ACE Score,ACE_Score,ACE_P,,,,
1. You have a friendly talk with your child,APQ_P_01,APQ_P,"APQ_P,APQ_P_01",Parent Measures,Questionnaire_Measures_of_Family_structure_Stress_and_Trauma,Alabama Parenting Questionnaire – Parent Report
2. Your ket your child know when he/she is doing a good job with something,APQ_P_02,APQ_P,"APQ_P,APQ_P_02",Parent Measures,Questionnaire_Measures_of_Family_structure_Stress_and_Trauma,Alabama Parenting Questionnaire – Parent Report
3. You threaten to punish your child and then do not actuallypunish him/her,APQ_P_03,APQ_P,"APQ_P,APQ_P_03",Parent Measures,Questionnaire_Measures_of_Family_structure_Stress_and_Trauma,Alabama Parenting Questionnaire – Parent Report
"4. You volunteer to help with special activities that your child is involved with (such as sports, boy/girl scouts, church youth groups)",APQ_P_04,APQ_P,"APQ_P,APQ_P_04",Parent Measures,Questionnaire_Measures_of_Family_structure_Stress_and_Trauma,Alabama Parenting Questionnaire – Parent Report
5. You reward or give something extra to your child for obeying you or behaving well,APQ_P_05,APQ_P,"APQ_P,APQ_P_05",Parent Measures,Questionnaire_Measures_of_Family_structure_Stress_and_Trauma,Alabama Parenting Questionnaire – Parent Report
6. You child fails to leave a note to let you know where he/she is going,APQ_P_06,APQ_P,"APQ_P,APQ_P_06",Parent Measures,Questionnaire_Measures_of_Family_structure_Stress_and_Trauma,Alabama Parenting Questionnaire – Parent Report
7. You play games or do other fun things with your child,APQ_P_07,APQ_P,"APQ_P,APQ_P_07",Parent Measures,Questionnaire_Measures_of_Family_structure_Stress_and_Trauma,Alabama Parenting Questionnaire – Parent Report
8. Your child talks you out of being punished after he/she has done something wrong,APQ_P_08,APQ_P,"APQ_P,APQ_P_08",Parent Measures,Questionnaire_Measures_of_Family_structure_Stress_and_Trauma,Alabama Parenting Questionnaire – Parent Report
9. You ask your child about his/her day in school,APQ_P_09,APQ_P,"APQ_P,APQ_P_09",Parent Measures,Questionnaire_Measures_of_Family_structure_Stress_and_Trauma,Alabama Parenting Questionnaire – Parent Report
10. Your child stays out in the evening past the time that he/she is supposed to be home,APQ_P_10,APQ_P,"APQ_P,APQ_P_10",Parent Measures,Questionnaire_Measures_of_Family_structure_Stress_and_Trauma,Alabama Parenting Questionnaire – Parent Report
11. You help your child with his/her homework,APQ_P_11,APQ_P,"APQ_P,APQ_P_11",Parent Measures,Questionnaire_Measures_of_Family_structure_Stress_and_Trauma,Alabama Parenting Questionnaire – Parent Report
12. You give up trying to get your child to obey you because it's too much trouble,APQ_P_12,APQ_P,"APQ_P,APQ_P_12",Parent Measures,Questionnaire_Measures_of_Family_structure_Stress_and_Trauma,Alabama Parenting Questionnaire – Parent Report
13. You compliment your child when he/she has done something well,APQ_P_13,APQ_P,"APQ_P,APQ_P_13",Parent Measures,Questionnaire_Measures_of_Family_structure_Stress_and_Trauma,Alabama Parenting Questionnaire – Parent Report
14. You ask your child what his/her plans are for the coming day,APQ_P_14,APQ_P,"APQ_P,APQ_P_14",Parent Measures,Questionnaire_Measures_of_Family_structure_Stress_and_Trauma,Alabama Parenting Questionnaire – Parent Report
15. You drive your child to a special activity,APQ_P_15,APQ_P,"APQ_P,APQ_P_15",Parent Measures,Questionnaire_Measures_of_Family_structure_Stress_and_Trauma,Alabama Parenting Questionnaire – Parent Report
16. You praise your child for behaving well,APQ_P_16,APQ_P,"APQ_P,APQ_P_16",Parent Measures,Questionnaire_Measures_of_Family_structure_Stress_and_Trauma,Alabama Parenting Questionnaire – Parent Report
17. You do not know the friends your child is with,APQ_P_17,APQ_P,"APQ_P,APQ_P_17",Parent Measures,Questionnaire_Measures_of_Family_structure_Stress_and_Trauma,Alabama Parenting Questionnaire – Parent Report
18. You hug or kiss your child when he/she has done something well,APQ_P_18,APQ_P,"APQ_P,APQ_P_18",Parent Measures,Questionnaire_Measures_of_Family_structure_Stress_and_Trauma,Alabama Parenting Questionnaire – Parent Report
19. Your child goed out with a set time to be home,APQ_P_19,APQ_P,"APQ_P,APQ_P_19",Parent Measures,Questionnaire_Measures_of_Family_structure_Stress_and_Trauma,Alabama Parenting Questionnaire – Parent Report
20. You talks to your child about his/her friends,APQ_P_20,APQ_P,"APQ_P,APQ_P_20",Parent Measures,Questionnaire_Measures_of_Family_structure_Stress_and_Trauma,Alabama Parenting Questionnaire – Parent Report
21. Your child goes out after dark without an adult,APQ_P_21,APQ_P,"APQ_P,APQ_P_21",Parent Measures,Questionnaire_Measures_of_Family_structure_Stress_and_Trauma,Alabama Parenting Questionnaire – Parent Report
22. You let your child out of a punishment early (like lift restrictions earlier than you originally said),APQ_P_22,APQ_P,"APQ_P,APQ_P_22",Parent Measures,Questionnaire_Measures_of_Family_structure_Stress_and_Trauma,Alabama Parenting Questionnaire – Parent Report
23. Your child helps plan family activities,APQ_P_23,APQ_P,"APQ_P,APQ_P_23",Parent Measures,Questionnaire_Measures_of_Family_structure_Stress_and_Trauma,Alabama Parenting Questionnaire – Parent Report
24. You get so busy that you forget where your child is and what he/she is doing,APQ_P_24,APQ_P,"APQ_P,APQ_P_24",Parent Measures,Questionnaire_Measures_of_Family_structure_Stress_and_Trauma,Alabama Parenting Questionnaire – Parent Report
25. Your child is not punished when he/she has done something wrong,APQ_P_25,APQ_P,"APQ_P,APQ_P_25",Parent Measures,Questionnaire_Measures_of_Family_structure_Stress_and_Trauma,Alabama Parenting Questionnaire – Parent Report
"26. you attend PTA meetings, parent/teacher conderences, or other meetings at your child's school",APQ_P_26,APQ_P,"APQ_P,APQ_P_26",Parent Measures,Questionnaire_Measures_of_Family_structure_Stress_and_Trauma,Alabama Parenting Questionnaire – Parent Report
27. You tell your child that you like it when he/she helps out around the house,APQ_P_27,APQ_P,"APQ_P,APQ_P_27",Parent Measures,Questionnaire_Measures_of_Family_structure_Stress_and_Trauma,Alabama Parenting Questionnaire – Parent Report
28. You don't check that your child comes home at the time he/she was supposed to,APQ_P_28,APQ_P,"APQ_P,APQ_P_28",Parent Measures,Questionnaire_Measures_of_Family_structure_Stress_and_Trauma,Alabama Parenting Questionnaire – Parent Report
29. You don't tell your child where you are going,APQ_P_29,APQ_P,"APQ_P,APQ_P_29",Parent Measures,Questionnaire_Measures_of_Family_structure_Stress_and_Trauma,Alabama Parenting Questionnaire – Parent Report
30. Your child comes home from school more than an hour past the time you expect him/her to be home,APQ_P_30,APQ_P,"APQ_P,APQ_P_30",Parent Measures,Questionnaire_Measures_of_Family_structure_Stress_and_Trauma,Alabama Parenting Questionnaire – Parent Report
31. The punishment you give your child depends on your mood,APQ_P_31,APQ_P,"APQ_P,APQ_P_31",Parent Measures,Questionnaire_Measures_of_Family_structure_Stress_and_Trauma,Alabama Parenting Questionnaire – Parent Report
32. Your child is at home without adult supervision,APQ_P_32,APQ_P,"APQ_P,APQ_P_32",Parent Measures,Questionnaire_Measures_of_Family_structure_Stress_and_Trauma,Alabama Parenting Questionnaire – Parent Report
33. You spank your child with your hand when he/she has done something wrong,APQ_P_33,APQ_P,"APQ_P,APQ_P_33",Parent Measures,Questionnaire_Measures_of_Family_structure_Stress_and_Trauma,Alabama Parenting Questionnaire – Parent Report
34. You ignore your child when he/she is misbehvaing,APQ_P_34,APQ_P,"APQ_P,APQ_P_34",Parent Measures,Questionnaire_Measures_of_Family_structure_Stress_and_Trauma,Alabama Parenting Questionnaire – Parent Report
35. You slap your child when he/she has done something wrong,APQ_P_35,APQ_P,"APQ_P,APQ_P_35",Parent Measures,Questionnaire_Measures_of_Family_structure_Stress_and_Trauma,Alabama Parenting Questionnaire – Parent Report
36. You take away privileges or money from your child as punishment,APQ_P_36,APQ_P,"APQ_P,APQ_P_36",Parent Measures,Questionnaire_Measures_of_Family_structure_Stress_and_Trauma,Alabama Parenting Questionnaire – Parent Report
37. You send your child to his/her room as punishment,APQ_P_37,APQ_P,"APQ_P,APQ_P_37",Parent Measures,Questionnaire_Measures_of_Family_structure_Stress_and_Trauma,Alabama Parenting Questionnaire – Parent Report
"38. You hit your child with a belt, switch, or other object when he/she has done something wrong",APQ_P_38,APQ_P,"APQ_P,APQ_P_38",Parent Measures,Questionnaire_Measures_of_Family_structure_Stress_and_Trauma,Alabama Parenting Questionnaire – Parent Report
39. You yell or scream at your child when he/she has done something wrong,APQ_P_39,APQ_P,"APQ_P,APQ_P_39",Parent Measures,Questionnaire_Measures_of_Family_structure_Stress_and_Trauma,Alabama Parenting Questionnaire – Parent Report
40. You calmly explain to your child why his/her behavior was wrong when he/she misbehaves,APQ_P_40,APQ_P,"APQ_P,APQ_P_40",Parent Measures,Questionnaire_Measures_of_Family_structure_Stress_and_Trauma,Alabama Parenting Questionnaire – Parent Report
41. You use time out him/her sit or stand in a corner) as punishment,APQ_P_41,APQ_P,"APQ_P,APQ_P_41",Parent Measures,Questionnaire_Measures_of_Family_structure_Stress_and_Trauma,Alabama Parenting Questionnaire – Parent Report
42. You give your child extra chores as punishment,APQ_P_42,APQ_P,"APQ_P,APQ_P_42",Parent Measures,Questionnaire_Measures_of_Family_structure_Stress_and_Trauma,Alabama Parenting Questionnaire – Parent Report
Involvement Score,APQ_P_INV,APQ_P,"APQ_P,APQ_P_INV",Parent Measures,Questionnaire_Measures_of_Family_structure_Stress_and_Trauma,Alabama Parenting Questionnaire – Parent Report
Positive Parenting Score,APQ_P_PP,APQ_P,"APQ_P,APQ_P_PP",Parent Measures,Questionnaire_Measures_of_Family_structure_Stress_and_Trauma,Alabama Parenting Questionnaire – Parent Report
Poor Monitoring/Supervision Score,APQ_P_PM,APQ_P,"APQ_P,APQ_P_PM",Parent Measures,Questionnaire_Measures_of_Family_structure_Stress_and_Trauma,Alabama Parenting Questionnaire – Parent Report
Inconsistent Discipline Score,APQ_P_ID,APQ_P,"APQ_P,APQ_P_ID",Parent Measures,Questionnaire_Measures_of_Family_structure_Stress_and_Trauma,Alabama Parenting Questionnaire – Parent Report
Corporal Punishment Score,APQ_P_CP,APQ_P,"APQ_P,APQ_P_CP",Parent Measures,Questionnaire_Measures_of_Family_structure_Stress_and_Trauma,Alabama Parenting Questionnaire – Parent Report
APQ Total Score,APQ_P_Total,APQ_P,"APQ_P,APQ_P_Total",Parent Measures,Questionnaire_Measures_of_Family_structure_Stress_and_Trauma,Alabama Parenting Questionnaire – Parent Report
Other Discipline Practices Score (Not factored into total score but provides item level information),APQ_P_OPD,APQ_P,"APQ_P,APQ_P_OPD",Parent Measures,Questionnaire_Measures_of_Family_structure_Stress_and_Trauma,Alabama Parenting Questionnaire – Parent Report
1. You have a friendly talk with your mom,APQ_SR_01,APQ_SR,"APQ_SR,APQ_SR_01",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Alabama Parenting Questionnaire 
1A. How about your dad?,APQ_SR_01A,APQ_SR,"APQ_SR,APQ_SR_01A",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Alabama Parenting Questionnaire 
2. Your parents tell you that you are doing a good job,APQ_SR_02,APQ_SR,"APQ_SR,APQ_SR_02",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Alabama Parenting Questionnaire 
3. Your parents threaten to punish you and then not do it,APQ_SR_03,APQ_SR,"APQ_SR,APQ_SR_03",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Alabama Parenting Questionnaire 
"4. Your mom helps you with some of your special acivities (such as sports, boy/girl scouts, church youth groups)",APQ_SR_04,APQ_SR,"APQ_SR,APQ_SR_04",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Alabama Parenting Questionnaire 
4A. How about your dad?,APQ_SR_04A,APQ_SR,"APQ_SR,APQ_SR_04A",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Alabama Parenting Questionnaire 
5. Your parents reward or give something extra to you for behaving well,APQ_SR_05,APQ_SR,"APQ_SR,APQ_SR_05",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Alabama Parenting Questionnaire 
6. You fail to leave a note or let your parents know where you are going,APQ_SR_06,APQ_SR,"APQ_SR,APQ_SR_06",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Alabama Parenting Questionnaire 
7. You play games or do other fun things with your mom,APQ_SR_07,APQ_SR,"APQ_SR,APQ_SR_07",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Alabama Parenting Questionnaire 
7A. How about your dad?,APQ_SR_07A,APQ_SR,"APQ_SR,APQ_SR_07A",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Alabama Parenting Questionnaire 
8. You talk your parents out of punishing you after you have done something wrong,APQ_SR_08,APQ_SR,"APQ_SR,APQ_SR_08",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Alabama Parenting Questionnaire 
9. Your mom asks you about your day in school,APQ_SR_09,APQ_SR,"APQ_SR,APQ_SR_09",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Alabama Parenting Questionnaire 
9A. How about your dad?,APQ_SR_09A,APQ_SR,"APQ_SR,APQ_SR_09A",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Alabama Parenting Questionnaire 
10. You stay out in the evening past the time you are supposed to be home,APQ_SR_10,APQ_SR,"APQ_SR,APQ_SR_10",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Alabama Parenting Questionnaire 
11. Your mom helps you with your homework,APQ_SR_11,APQ_SR,"APQ_SR,APQ_SR_11",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Alabama Parenting Questionnaire 
11A. How about your dad?,APQ_SR_11A,APQ_SR,"APQ_SR,APQ_SR_11A",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Alabama Parenting Questionnaire 
12. Your parents give up trying to get you to obey them because it's too much trouble,APQ_SR_12,APQ_SR,"APQ_SR,APQ_SR_12",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Alabama Parenting Questionnaire 
13. Your parents compliment you when you have done something well,APQ_SR_13,APQ_SR,"APQ_SR,APQ_SR_13",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Alabama Parenting Questionnaire 
14. Your mom asks you what your plans are for the coming day,APQ_SR_14,APQ_SR,"APQ_SR,APQ_SR_14",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Alabama Parenting Questionnaire 
14A. How about your dad?,APQ_SR_14A,APQ_SR,"APQ_SR,APQ_SR_14A",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Alabama Parenting Questionnaire 
15. Your mom drives you to a special activity,APQ_SR_15,APQ_SR,"APQ_SR,APQ_SR_15",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Alabama Parenting Questionnaire 
15A. How about your dad?,APQ_SR_15A,APQ_SR,"APQ_SR,APQ_SR_15A",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Alabama Parenting Questionnaire 
16. Your parents praise you for behaving well,APQ_SR_16,APQ_SR,"APQ_SR,APQ_SR_16",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Alabama Parenting Questionnaire 
17. Your parents do not know the friends you are with,APQ_SR_17,APQ_SR,"APQ_SR,APQ_SR_17",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Alabama Parenting Questionnaire 
18. Your parents hug or kiss you when you have done something well,APQ_SR_18,APQ_SR,"APQ_SR,APQ_SR_18",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Alabama Parenting Questionnaire 
19. You go out with a set time to be home,APQ_SR_19,APQ_SR,"APQ_SR,APQ_SR_19",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Alabama Parenting Questionnaire 
20. Your mom talks to you about your friends,APQ_SR_20,APQ_SR,"APQ_SR,APQ_SR_20",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Alabama Parenting Questionnaire 
20A. How about your dad?,APQ_SR_20A,APQ_SR,"APQ_SR,APQ_SR_20A",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Alabama Parenting Questionnaire 
21. You go out after dark without an adult with you,APQ_SR_21,APQ_SR,"APQ_SR,APQ_SR_21",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Alabama Parenting Questionnaire 
22. Your parents let you out of a punishment early (like lift restrictions earlier than they originally said),APQ_SR_22,APQ_SR,"APQ_SR,APQ_SR_22",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Alabama Parenting Questionnaire 
23. You help plan family activities,APQ_SR_23,APQ_SR,"APQ_SR,APQ_SR_23",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Alabama Parenting Questionnaire 
24. Your parents get so busy that they forget where you are and what you are doing,APQ_SR_24,APQ_SR,"APQ_SR,APQ_SR_24",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Alabama Parenting Questionnaire 
25. Your parents do not punish you when you have done something wrong,APQ_SR_25,APQ_SR,"APQ_SR,APQ_SR_25",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Alabama Parenting Questionnaire 
"26. Your mom goes to a meeting at school, like a PTA meeting, or a parent/teacher conference",APQ_SR_26,APQ_SR,"APQ_SR,APQ_SR_26",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Alabama Parenting Questionnaire 
26A. How about your dad?,APQ_SR_26A,APQ_SR,"APQ_SR,APQ_SR_26A",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Alabama Parenting Questionnaire 
27. Your parents tell you that they like it when you help out around the house,APQ_SR_27,APQ_SR,"APQ_SR,APQ_SR_27",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Alabama Parenting Questionnaire 
28. You stay out later than you are supposed to and your parents don't know it,APQ_SR_28,APQ_SR,"APQ_SR,APQ_SR_28",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Alabama Parenting Questionnaire 
29. Your parents leave the house and don't tell you where they are going,APQ_SR_29,APQ_SR,"APQ_SR,APQ_SR_29",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Alabama Parenting Questionnaire 
30. You come home from school more than an hour past the time your parents expect you to be home,APQ_SR_30,APQ_SR,"APQ_SR,APQ_SR_30",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Alabama Parenting Questionnaire 
31. The punishment your parents give depends on their mood,APQ_SR_31,APQ_SR,"APQ_SR,APQ_SR_31",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Alabama Parenting Questionnaire 
32. You are at home without an adult being with you,APQ_SR_32,APQ_SR,"APQ_SR,APQ_SR_32",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Alabama Parenting Questionnaire 
33. Your parents spank you with their hand when you have done something wrong,APQ_SR_33,APQ_SR,"APQ_SR,APQ_SR_33",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Alabama Parenting Questionnaire 
34. Your parents ignore you when you are misbehvaing,APQ_SR_34,APQ_SR,"APQ_SR,APQ_SR_34",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Alabama Parenting Questionnaire 
35. Your parents slap you when you have done something wrong,APQ_SR_35,APQ_SR,"APQ_SR,APQ_SR_35",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Alabama Parenting Questionnaire 
36. Your parents take away a privilege or money from you as punishment,APQ_SR_36,APQ_SR,"APQ_SR,APQ_SR_36",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Alabama Parenting Questionnaire 
37. Your parents send you to your room as punishment,APQ_SR_37,APQ_SR,"APQ_SR,APQ_SR_37",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Alabama Parenting Questionnaire 
"38. Your parents hit you with a belt, switch, or other object when you have done something wrong",APQ_SR_38,APQ_SR,"APQ_SR,APQ_SR_38",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Alabama Parenting Questionnaire 
39. Your parents yell or scream at you when you have done something wrong,APQ_SR_39,APQ_SR,"APQ_SR,APQ_SR_39",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Alabama Parenting Questionnaire 
40. Your parents calmly explain to you why your behavior was wrong when you misbehave,APQ_SR_40,APQ_SR,"APQ_SR,APQ_SR_40",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Alabama Parenting Questionnaire 
41. Your parents use time out (make you sit or stand in a corner) as punishment,APQ_SR_41,APQ_SR,"APQ_SR,APQ_SR_41",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Alabama Parenting Questionnaire 
42. Your parents give you extra chores as punishment,APQ_SR_42,APQ_SR,"APQ_SR,APQ_SR_42",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Alabama Parenting Questionnaire 
Mother Involvement Score,APQ_SR_INV_D,APQ_SR,"APQ_SR,APQ_SR_INV_D",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Alabama Parenting Questionnaire 
Father Involvement Score,APQ_SR_INV_M,APQ_SR,"APQ_SR,APQ_SR_INV_M",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Alabama Parenting Questionnaire 
Positive Parenting Score,APQ_SR_PP,APQ_SR,"APQ_SR,APQ_SR_PP",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Alabama Parenting Questionnaire 
Poor Monitoring/Supervision Score,APQ_SR_PM,APQ_SR,"APQ_SR,APQ_SR_PM",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Alabama Parenting Questionnaire 
Inconsistent Discipline Score,APQ_SR_ID,APQ_SR,"APQ_SR,APQ_SR_ID",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Alabama Parenting Questionnaire 
Corporal Punishment Score,APQ_SR_CP,APQ_SR,"APQ_SR,APQ_SR_CP",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Alabama Parenting Questionnaire 
APQ Total Score,APQ_SR_OPD,APQ_SR,"APQ_SR,APQ_SR_OPD",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Alabama Parenting Questionnaire 
Other Discipline Practices Score (Not factored into total score but provides item level information),APQ_SR_Total,APQ_SR,"APQ_SR,APQ_SR_Total",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Alabama Parenting Questionnaire 
Is easily annoyed by others,ARI_P_01,ARI_P,"ARI_P,ARI_P_01",Parent Measures,Demographic_Questionnaire_Measures,Affective Reactivity Index-Parent
Often loses his/her temper,ARI_P_02,ARI_P,"ARI_P,ARI_P_02",Parent Measures,Demographic_Questionnaire_Measures,Affective Reactivity Index-Parent
Stays angry for a long time,ARI_P_03,ARI_P,"ARI_P,ARI_P_03",Parent Measures,Demographic_Questionnaire_Measures,Affective Reactivity Index-Parent
Is angry most of the time,ARI_P_04,ARI_P,"ARI_P,ARI_P_04",Parent Measures,Demographic_Questionnaire_Measures,Affective Reactivity Index-Parent
Gets angry frequently,ARI_P_05,ARI_P,"ARI_P,ARI_P_05",Parent Measures,Demographic_Questionnaire_Measures,Affective Reactivity Index-Parent
Loses temper easily,ARI_P_06,ARI_P,"ARI_P,ARI_P_06",Parent Measures,Demographic_Questionnaire_Measures,Affective Reactivity Index-Parent
"Overall, irritability causes him/her problems",ARI_P_07,ARI_P,"ARI_P,ARI_P_07",Parent Measures,Demographic_Questionnaire_Measures,Affective Reactivity Index-Parent
Total Score,ARI_P_Total_Score,ARI_P,"ARI_P,ARI_P_Total_Score",Parent Measures,Demographic_Questionnaire_Measures,Affective Reactivity Index-Parent
I am easily annoyed by others,ARI_S_01,ARI_S,"ARI_S,ARI_S_01",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Affective Reactivity Index – Self Report
I often lose my temper,ARI_S_02,ARI_S,"ARI_S,ARI_S_02",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Affective Reactivity Index – Self Report
I stay angry for a long time,ARI_S_03,ARI_S,"ARI_S,ARI_S_03",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Affective Reactivity Index – Self Report
I am angry most of the time,ARI_S_04,ARI_S,"ARI_S,ARI_S_04",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Affective Reactivity Index – Self Report
I get angry frequently,ARI_S_05,ARI_S,"ARI_S,ARI_S_05",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Affective Reactivity Index – Self Report
